question_id,tag_id
963745,NA
2359301,105
1886638,104
2941730,2
2927354,NA
786458,NA
2563596,NA
4510850,NA
4697714,NA
279891,NA
4934808,NA
4256134,NA
4678471,NA
4335873,NA
2197916,105
3078141,104
4421321,NA
1781655,NA
4256160,NA
2247927,104
4194358,104
875725,"102,104"
382120,2
4194366,104
3145796,"2,102,104"
1310789,NA
1513513,NA
4256213,NA
4041403,104
4256236,NA
3998765,NA
786539,NA
523098,NA
1887795,NA
3319920,"102,104"
4456560,NA
307291,"104,105"
338117,NA
2741930,105
786549,NA
2294996,NA
1770239,NA
2716305,"1,2,101,102"
3145868,NA
3123013,NA
3229518,"2,102"
4663186,NA
1577247,105
786577,NA
3508564,NA
1991600,NA
2661372,"2,104"
3229523,"2,102"
2687128,NA
3803232,104
845149,NA
786594,NA
2927782,104
3123065,2
3229551,"2,102,104"
1964611,NA
3446513,104
880457,NA
524463,105
850774,"104,105"
798858,104
4963104,NA
3998770,NA
3229554,"2,102,104"
3123083,NA
3229569,"2,102"
3044501,104
3123095,NA
614280,NA
814818,NA
685060,NA
233934,NA
276613,NA
2186598,NA
3264774,NA
3273761,NA
4718817,NA
525895,105
2621673,NA
4718826,NA
3229582,"2,102,104"
3123328,NA
3293263,"102,104"
4718835,NA
537302,NA
424749,NA
691882,NA
4456691,NA
4441071,NA
4148161,104
4718841,NA
181665,NA
3234239,"2,102,104"
207927,NA
2461842,NA
522990,NA
631927,NA
3348161,102
2659897,2
4718853,NA
2864146,NA
2621704,104
4718856,NA
3145993,104
872597,NA
902563,NA
1004651,NA
522996,104
3244435,"102,104"
630088,NA
596301,NA
1791454,105
530827,NA
2182669,NA
523323,NA
523884,104
2621730,104
586849,NA
2621740,NA
786740,"104,105"
1573186,105
786760,NA
2182699,NA
523861,NA
525129,NA
4766704,NA
3488310,NA
4803650,NA
2796975,NA
696417,"104,105"
4718969,NA
526331,105
3146121,104
3620919,NA
817274,NA
4247378,NA
875670,102
944474,NA
2437482,NA
538242,NA
280780,NA
614020,NA
4561302,NA
921036,NA
980647,NA
2316554,NA
