# Failed oldQuestionIds - Generated on 2025-10-07T21:23:37.880968
# Format: oldQuestionId,reason
801330,No question document found
801334,No question document found
802860,No question document found
802866,No question document found
803442,No question document found
804737,No question document found
804747,No question document found
804755,No question document found
804774,No question document found
804807,No question document found
804811,No question document found
804836,No question document found
804877,No question document found
804909,No question document found
804921,No question document found
804992,No question document found
805035,No question document found
805086,No question document found
805337,No question document found
805340,No question document found
805341,No question document found
805344,No question document found
805350,No question document found
805356,No question document found
805372,No question document found
805396,No question document found
805570,No question document found
806036,No question document found
806066,No question document found
807148,No question document found
807174,No question document found
807340,No question document found
809389,No question document found
809413,No question document found
809420,No question document found
809421,No question document found
809422,No question document found
809423,No question document found
809425,No question document found
809426,No question document found
809427,No question document found
809428,No question document found
809429,No question document found
809431,No question document found
809432,No question document found
809475,No question document found
811148,No question document found
811149,No question document found
811150,No question document found
812421,No question document found
812551,No question document found
812557,No question document found
812668,No question document found
813112,No question document found
813170,No question document found
814566,No question document found
814753,No question document found
815062,No question document found
815911,No question document found
815973,No question document found
815983,No question document found
816169,No question document found
817072,No question document found
817432,No question document found
817584,No question document found
817756,No question document found
819310,No question document found
820295,No question document found
820302,No question document found
820425,No question document found
820535,No question document found
821069,No question document found
821090,No question document found
821091,No question document found
821095,No question document found
821097,No question document found
821100,No question document found
821101,No question document found
821102,No question document found
821103,No question document found
821104,No question document found
821105,No question document found
821106,No question document found
821107,No question document found
821108,No question document found
821109,No question document found
821110,No question document found
821115,No question document found
821116,No question document found
821118,No question document found
821120,No question document found
821121,No question document found
821122,No question document found
821123,No question document found
821124,No question document found
821125,No question document found
821126,No question document found
821129,No question document found
821131,No question document found
821135,No question document found
821144,No question document found
821224,No question document found
821235,No question document found
821238,No question document found
821239,No question document found
821242,No question document found
821243,No question document found
821253,No question document found
821255,No question document found
821259,No question document found
821260,No question document found
821268,No question document found
821269,No question document found
821272,No question document found
821285,No question document found
821293,No question document found
821297,No question document found
821327,No question document found
821329,No question document found
821338,No question document found
821339,No question document found
821342,No question document found
821358,No question document found
821502,No question document found
821517,No question document found
821519,No question document found
821526,No question document found
821527,No question document found
821534,No question document found
821554,No question document found
821555,No question document found
822437,No question document found
822949,No question document found
824032,No question document found
824049,No question document found
824050,No question document found
824311,No question document found
825028,No question document found
827438,No question document found
827839,No question document found
829127,No question document found
830496,No question document found
830518,No question document found
830666,No question document found
831850,No question document found
831954,No question document found
831966,No question document found
832017,No question document found
832019,No question document found
832024,No question document found
832039,No question document found
832047,No question document found
832066,No question document found
832073,No question document found
832082,No question document found
832090,No question document found
832103,No question document found
832135,No question document found
832147,No question document found
832152,No question document found
832158,No question document found
832162,No question document found
832167,No question document found
832171,No question document found
832177,No question document found
832454,No question document found
832457,No question document found
833669,No question document found
833672,No question document found
833674,No question document found
833677,No question document found
833680,No question document found
833916,No question document found
834299,No question document found
834301,No question document found
834303,No question document found
834306,No question document found
834307,No question document found
834314,No question document found
834316,No question document found
834318,No question document found
834320,No question document found
834321,No question document found
835640,No question document found
835925,No question document found
836220,No question document found
836537,No question document found
836572,No question document found
836574,No question document found
836575,No question document found
836595,No question document found
836597,No question document found
836604,No question document found
836608,No question document found
836611,No question document found
836613,No question document found
836615,No question document found
836616,No question document found
837521,No question document found
837522,No question document found
837525,No question document found
837529,No question document found
838254,No question document found
838798,No question document found
840826,No question document found
841176,No question document found
841360,No question document found
843117,No question document found
843584,No question document found
843587,No question document found
843591,No question document found
843746,No question document found
843748,No question document found
843755,No question document found
843901,No question document found
844037,No question document found
844089,No question document found
844090,No question document found
844091,No question document found
844092,No question document found
844093,No question document found
844094,No question document found
844095,No question document found
844096,No question document found
844097,No question document found
844098,No question document found
844099,No question document found
846288,No question document found
846477,No question document found
848398,API call failed for some/all languages: [1, 2]
848434,API call failed for some/all languages: [1, 2]
848439,No question document found
848540,API call failed for some/all languages: [1, 2]
848571,API call failed for some/all languages: [1]
848672,API call failed for some/all languages: [1, 2]
848745,API call failed for some/all languages: [1, 2]
848768,API call failed for some/all languages: [1, 2]
848830,No question document found
848837,No question document found
849107,API call failed for some/all languages: [1, 2]
849233,No question document found
849255,No question document found
849397,API call failed for some/all languages: [1]
849825,No question document found
850084,No question document found
850280,No question document found
850566,No question document found
851384,No question document found
851385,No question document found
852156,No question document found
852544,No question document found
854528,No question document found
856562,No question document found
856563,No question document found
857675,No question document found
857709,No question document found
857757,No question document found
858222,No question document found
858231,No question document found
858273,No question document found
858379,No question document found
858559,No question document found
858677,No question document found
858681,No question document found
858684,No question document found
859180,No question document found
859217,No question document found
859351,No question document found
860706,No question document found
861763,No question document found
861828,No question document found
861831,No question document found
861833,No question document found
861835,No question document found
861836,No question document found
861837,No question document found
861838,No question document found
861921,No question document found
861947,No question document found
861955,No question document found
861960,No question document found
861965,No question document found
861990,No question document found
861998,No question document found
862003,No question document found
862021,No question document found
862024,No question document found
862031,No question document found
862035,No question document found
862037,No question document found
862041,No question document found
862043,No question document found
862058,No question document found
862061,No question document found
862064,No question document found
862116,No question document found
862123,No question document found
862127,No question document found
862130,No question document found
862133,No question document found
862513,No question document found
862524,No question document found
862528,No question document found
862535,No question document found
862544,No question document found
862551,No question document found
862557,No question document found
862578,No question document found
862651,No question document found
862657,No question document found
862660,No question document found
862667,No question document found
862672,No question document found
862676,No question document found
862681,No question document found
862685,No question document found
862691,No question document found
862694,No question document found
862699,No question document found
862705,No question document found
862706,No question document found
862713,No question document found
863730,No question document found
864010,No question document found
864023,No question document found
864535,No question document found
867032,No question document found
867033,No question document found
868219,API call failed for some/all languages: [1, 2, 3]
868251,API call failed for some/all languages: [1, 2, 3]
868338,API call failed for some/all languages: [1, 2]
868368,API call failed for some/all languages: [1, 2, 3]
868411,API call failed for some/all languages: [1, 2, 3]
868427,API call failed for some/all languages: [1, 2, 3]
868506,API call failed for some/all languages: [1, 2, 3]
868524,API call failed for some/all languages: [1, 2]
868664,API call failed for some/all languages: [1, 2, 3]
868794,API call failed for some/all languages: [1, 2, 3]
868882,API call failed for some/all languages: [1, 2]
869103,No question document found
869403,API call failed for some/all languages: [1]
869475,API call failed for some/all languages: [1, 2, 3]
869751,API call failed for some/all languages: [1, 2]
869833,API call failed for some/all languages: [1, 2]
870423,API call failed for some/all languages: [1, 2]
871703,No question document found
871725,No question document found
873920,No question document found
873922,No question document found
875341,No question document found
875466,No question document found
876971,No question document found
882346,No question document found
882439,No question document found
883594,No question document found
883738,API call failed for some/all languages: [1, 2]
883774,API call failed for some/all languages: [1, 2]
883816,API call failed for some/all languages: [1, 2]
883895,API call failed for some/all languages: [1, 2, 3]
884064,API call failed for some/all languages: [1, 2]
884301,API call failed for some/all languages: [1, 2]
